timestamp,Binance_ALGOUSDT,round,ALGOFI_ALGO_USDC_[ALGO],ALGOFI_ALGO_USDC_[USDC],ALGOFI_ALGO_USDT_[ALGO],ALGOFI_ALGO_USDT_[USDT],HUMBLESWAP_ALGO_USDC_[ALGO],HUMBLESWAP_ALGO_USDC_[USDC],HUMBLESWAP_ALGO_USDT_[ALGO],HUMBLESWAP_ALGO_USDT_[USDT],HUMBLESWAP_ALGO_goUSD_[ALGO],HUMBLESWAP_ALGO_goUSD_[goUSD],PACT_ALGO_USDC_[ALGO],PACT_ALGO_USDC_[USDC],PACT_ALGO_USDT_[ALGO],PACT_ALGO_USDT_[USDT],TINYMAN(v1.1)_ALGO_USDC_[ALGO],TINYMAN(v1.1)_ALGO_USDC_[USDC],TINYMAN(v1.1)_ALGO_USDT_[ALGO],TINYMAN(v1.1)_ALGO_USDT_[USDT],TINYMAN(v2)_ALGO_USDC_[ALGO],TINYMAN(v2)_ALGO_USDC_[USDC]
1682450801054,0.1831029040629684,28626242,811671.5577,148132.12018,30196.0766,5511.62115,3014284.5942,589587.99566,391547.03839,72112.70023,92896.08374,17879.99217,7846516.08407,1435266.91881,217.01642,39.10252,5526381.90031,1045755.44256,378554.43469,72182.53286,66511337.16365,12194553.00163
1682450805679,0.1830599678455710,28626243,811671.5577,148132.12018,30196.0766,5511.62115,3014284.5942,589587.99566,391547.03839,72112.70023,92896.08374,17879.99217,7846516.08407,1435266.91881,217.01642,39.10252,5526381.90031,1045755.44256,378554.43469,72182.53286,66511337.16365,12194553.00163
1682450812520,0.1830599678455710,28626245,811671.5577,148132.12018,30196.0766,5511.62115,3014284.5942,589587.99566,391547.03839,72112.70023,92896.08374,17879.99217,7846516.08407,1435266.91881,217.01642,39.10252,5526381.90031,1045755.44256,378554.43469,72182.53286,66511337.16365,12194553.00163
1682450820323,0.1830599678455710,28626247,811671.5577,148132.12018,30196.0766,5511.62115,3014284.5942,589587.99566,391547.03839,72112.70023,92896.08374,17879.99217,7846516.08407,1435266.91881,217.01642,39.10252,5526381.90031,1045755.44256,378554.43469,72182.53286,66511337.16365,12194553.00163
1682450827608,0.1830613149925572,28626249,811671.5577,148132.12018,30196.0766,5511.62115,3014284.5942,589587.99566,391547.03839,72112.70023,92896.08374,17879.99217,7846516.08407,1435266.91881,217.01642,39.10252,5526381.90031,1045755.44256,378554.43469,72182.53286,66511337.16365,12194553.00163
1682450849103,0.1831202080643237,28626255,811671.5577,148132.12018,30196.0766,5511.62115,3014284.5942,589587.99566,391547.03839,72112.70023,92896.08374,17879.99217,7846516.08407,1435266.91881,217.01642,39.10252,5526381.90031,1045755.44256,378554.43469,72182.53286,66511337.16365,12194553.00163
1682450856607,0.1831202080643237,28626257,811671.5577,148132.12018,30196.0766,5511.62115,3014284.5942,589587.99566,391547.03839,72112.70023,92896.08374,17879.99217,7846516.08407,1435266.91881,217.01642,39.10252,5526381.90031,1045755.44256,378554.43469,72182.53286,66511337.16365,12194553.00163
1682450864262,0.1831202080643237,28626259,811671.5577,148132.12018,30196.0766,5511.62115,3014284.5942,589587.99566,391547.03839,72112.70023,92896.08374,17879.99217,7846516.08407,1435266.91881,217.01642,39.10252,5526381.90031,1045755.44256,378554.43469,72182.53286,66511337.16365,12194553.00163
1682450875113,0.1831202080643237,28626262,811671.5577,148132.12018,30196.0766,5511.62115,3014284.5942,589587.99566,391547.03839,72112.70023,92896.08374,17879.99217,7846516.08407,1435266.91881,217.01642,39.10252,5526381.90031,1045755.44256,378554.43469,72182.53286,66511337.16365,12194553.00163
1682450882421,0.1831193064986923,28626264,811671.5577,148132.12018,30196.0766,5511.62115,3014284.5942,589587.99566,391547.03839,72112.70023,92896.08374,17879.99217,7846516.08407,1435266.91881,217.01642,39.10252,5526381.90031,1045755.44256,378554.43469,72182.53286,66511337.16365,12194553.00163
1682450893382,0.1831193064986923,28626267,811671.5577,148132.12018,30196.0766,5511.62115,3014284.5942,589587.99566,391547.03839,72112.70023,92896.08374,17879.99217,7846516.08407,1435266.91881,217.01642,39.10252,5526381.90031,1045755.44256,378554.43469,72182.53286,66511337.16365,12194553.00163
1682450896626,0.1831193064986923,28626268,811671.5577,148132.12018,30196.0766,5511.62115,3014284.5942,589587.99566,391547.03839,72112.70023,92896.08374,17879.99217,7846516.08407,1435266.91881,217.01642,39.10252,5526381.90031,1045755.44256,378554.43469,72182.53286,66511337.16365,12194553.00163
1682450911771,0.1831152318606629,28626272,811671.5577,148132.12018,30196.0766,5511.62115,3014284.5942,589587.99566,391547.03839,72112.70023,92896.08374,17879.99217,7846516.08407,1435266.91881,217.01642,39.10252,5526381.90031,1045755.44256,378554.43469,72182.53286,66511337.16365,12194553.00163
1682450914276,0.1831152318606629,28626273,811033.39289,148249.16645,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526381.90031,1045755.44256,378554.43469,72182.53286,66511337.16365,12194553.00163
1682450918748,0.1831152318606629,28626274,811033.39289,148249.16645,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526134.52429,1045801.08107,378554.43469,72182.53286,66511337.16365,12194553.00163
1682450933603,0.1831180087657805,28626278,811033.39289,148249.16645,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66511337.16365,12194553.00163
1682450947947,0.1831180087657805,28626282,811033.39289,148249.16645,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66511337.16365,12194553.00163
1682450955558,0.1831376727704185,28626284,811033.39289,148249.16645,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66511337.16365,12194553.00163
1682450966773,0.1831376727704185,28626287,811033.39289,148249.16645,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66511337.16365,12194553.00163
1682450972817,0.1831376727704185,28626289,811033.39289,148249.16645,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66511337.16365,12194553.00163
1682450980239,0.1831376727704185,28626291,811033.39289,148249.16645,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66511337.16365,12194553.00163
1682450984684,0.1831379874634714,28626292,811033.39289,148249.16645,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66511337.16365,12194553.00163
1682451000041,0.1831379874634714,28626296,811033.39289,148249.16645,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66511337.16365,12194553.00163
1682451039036,0.1830797903996574,28626307,811405.8829,148181.16646,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66512060.56282,12194421.00164
1682451047515,0.1830797903996574,28626309,811405.8829,148181.16646,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66512060.56282,12194421.00164
1682451055002,0.1830797903996574,28626311,811405.8829,148181.16646,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66512060.56282,12194421.00164
1682451068627,0.1830747517770529,28626315,811405.8829,148181.16646,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66519551.58182,12193054.27098
1682451075382,0.1830747517770529,28626317,811405.8829,148181.16646,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66519551.58182,12193054.27098
1682451079203,0.1830747517770529,28626318,811405.8829,148181.16646,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66519551.58182,12193054.27098
1682451091280,0.1830747517770529,28626321,811405.8829,148181.16646,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66519551.58182,12193054.27098
1682451102238,0.1830242771803785,28626324,811405.8829,148181.16646,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66519551.58182,12193054.27098
1682451105706,0.1830242771803785,28626325,811405.8829,148181.16646,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66519551.58182,12193054.27098
1682451117029,0.1829699365816179,28626328,811405.8829,148181.16646,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66519551.58182,12193054.27098
1682451128427,0.1829699365816179,28626331,811405.8829,148181.16646,30196.0766,5511.62115,3014147.91646,589613.08208,391547.03839,72112.70023,92640.72939,17926.73022,7845468.30375,1435459.21597,217.01642,39.10252,5526133.28123,1045801.08107,378554.43469,72182.53286,66519551.58182,12193054.27098
