round,group_id,sender,receiver,application-id,amount_send,asset_id_send,amount_received,asset_id_received
27410027,NRgChD8TXz3teel6cCmrTF5DsnuuH1+UwGQl/VkiSfU=,AACCDJTFPQR5UQJZ337NFR56CC44T776EWBGVJG5NY2QFTQWBWTALTEN4A,NGIHJMECRSFHIEQDHBVTLR54K7DOZWM5M6UM3A5CIOYSP6H3QTGSHHGJCQ,605929989,4321795,0,964115,31566704
27410061,LhLwFvK1CppBkMqQLKSoeXhlPPMZk7v1b2x2kwuCUU8=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,250000000,0,55709506,31566704
27410061,51YQuFYg9IdXn+b3wXtXkkVOGzDSpbT/Jm2sMqP08Y0=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,96286000,0,21460598,31566704
27410063,SY+iFxkm3QifVQ337HsTrrwvzQj7rV40nlNoRJZkvvY=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,1000000000,0,222783087,31566704
27410063,AjkzPyi1p7ayUfcvtsaZkw0pbAngJGIj7glr0Ul2fVU=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,403714000,0,89953868,31566704
27410063,62ce5Gp1ac6ZRUV4lIIlG4nqzbYR2TifPEf6NqCa6A4=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,68140500,0,15177587,31566704
27410063,8d0u6QzwMXRYGWAj/0WA0m0SFqg8cCsijymfMvnrkjM=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,250000000,0,55678839,31566704
27410099,XQ9ZV4u6SS5eeEILl9iL+sue0Pu6OTQpEv7s7h9+uX8=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,854436699,0,190284858,31566704
27410103,rdU0AOHrlp4h1fToUqa7nwXrkAjxnlgcow4MtiUZhf8=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,500000000,0,111346479,31566704
27410103,gYZnKIaZk8cV6dXddVgOd9lGIgKOVjbAvVMGcesrorQ=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,66833699,0,14879695,31566704
27410104,1uXzbr4/zxyu3aPokLSYTmQhQYB+roCco6u4D2ukYN8=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,1000000000,0,222626736,31566704
27410104,8Vk8i+qKwrEcyZIo7eJtIZJfBGBFKc9H1LTj56jvmfY=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,500000000,0,111278569,31566704
27410104,qOIWNEA3Vo0m0EUxIv12q8bukLrmCEB2qkGr7deVJko=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,183166300,0,40768494,31566704
27410117,YREU4VlNjJ6BXBJr+4iSi1KGEfb/9VX2lN+CMCP5kVk=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,1000000000,0,222545478,31566704
27410117,ZD/8M/legQMOznLEntlx5Z2g+Ddw0/xZssXYGntNXYA=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,249999100,0,55617381,31566704
27410157,aR9YFl1A8k2o/xFoNk0e4OGNjcL06AY13qX/CJlQMt8=,AACCDJTFPQR5UQJZ337NFR56CC44T776EWBGVJG5NY2QFTQWBWTALTEN4A,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,56956,31566704,254552,0
27410192,7X1tSNwOiLfsPAniI73JqNWgaMqJB6YLPLT4mytHy6g=,2HB66TH3RORMXG4G2F5CIIUA2CDM2DFMNX2P3ZAOBQ3TFXDGUG2KFCDL4Y,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,5953273185,0,1323196132,31566704
27410199,bVjGrMbQrw6YjXO5GAjaAdLE042mWVQvdWOAk5z86NI=,2HB66TH3RORMXG4G2F5CIIUA2CDM2DFMNX2P3ZAOBQ3TFXDGUG2KFCDL4Y,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,2976636593,0,661068068,31566704
27410199,9n2Yln2ZNZEW2pDKLButSfWECO+NcVNFfJwLDMtEMSI=,HS2YUNZNWS4S6YJUEZTHYLBTVOZ6YBBPXMIEF3PQOCSH5DPMUD24O677BQ,IWT4WOUKYQBCAO76UKWZ5E4CPIJVLBE5R3NX5QH3BXMTG34WU7ZCLJ4RVY,645869114,15080085,0,215561,386195940
27410203,PFasC8OHivLhVLfqIGnfE3OUKQ6tfXmNMQ0n7l2TmVg=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,72077537,31566704,323114748,0
27410203,XGXIaahpP+eIRYyvqv4Fy80Kbt7EcOf/27lyihzCVgE=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,28048215,31566704,125702266,0
27410203,jbmzY3wMJSq6YLsegCFHEfxIQ4Q9fpQ8X9YrYiLifMM=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,11741797,31566704,52616890,0
27410276,ZVN+TgQmTj+IxP1fMevSWp3budCGu1wqX6F6R/aIG4U=,7RPXZIWUOYK3ON7IXW6AQIXWF74JBY2R5EQDINEEFTGUCS57XXI4WSVFBI,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,404000,31566704,1808736,0
27410309,JQqurYq6a5SdGgAFXNNsZtIwPFdv9PcJnw30hJLcH8c=,UEHO545W7VI2S3HIYBC5VU5KC6FX6YKTKXK3HQPK4LFTFOBYBO7LOL636U,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,207675000,31566704,929617482,0
27410398,3w3zpS8WvNO4p2Fejjd1vCys7HUNqr+IDEfOkQTA1VM=,AACCDJTFPQR5UQJZ337NFR56CC44T776EWBGVJG5NY2QFTQWBWTALTEN4A,ANXUTSCKYAK2HGOGIE3BPBQBYJZ25MPUEVNCOMSZIEYBBWA3XT747WIT3E,795767355,1726375,0,383688,31566704
27410400,h59Ldg7s2cmOr/SxMhIEcM43q1SuJ3cE8UU3+inha7Y=,J4BJWP67LHXT7LQTWZYWJGNSB25VZMO6SFZPKBSY7HJUCXJIFVE2PEOTVA,ZZJNP4QMRQS5IWRIT57P6RQJ2EPK4LBDWNAUNF7EXOUNZU4BUTDXIDHI6I,613217007,3616039,0,807368,312769
27410546,ym4NbmX8IXSAHxulGZqpL9Mfo8LDAPzHsM4RM7jnLK4=,AACCDJTFPQR5UQJZ337NFR56CC44T776EWBGVJG5NY2QFTQWBWTALTEN4A,UXCJORFWJBXMK46HDXRKRIA5546AWFIW4KSQ6TLCUGIK2M5RQWGS2TMDUQ,777639704,1034597,312769,4628588,0
27410569,DD9/ZzWtV3/wlAg1jWBXPPwMwAdVrtwftoB2NDGUcmw=,N7N5GNPD7M4DD34R2MORUBAY7UXP3UTGRVYR4CN7B7KBS4NXTWOKK5OG6I,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,1153719,31566704,5172384,0
27410598,vYD/KMzjYXr8T/TNp0pF2EGbMAUTZ8bpfRdXG1+EQpA=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,UXCJORFWJBXMK46HDXRKRIA5546AWFIW4KSQ6TLCUGIK2M5RQWGS2TMDUQ,777639704,100000000,0,22198922,312769
27410599,N0cwrsa9E5ih1xEkkqk3Vw7zzVuLqRwdwQEQQX2b0XE=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,500000000,0,110879491,31566704
27410599,xyyw+/UpFuC369uesIIsV4LDzgQ7KqimWyKh1Ku1SRI=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,250000000,0,55438354,31566704
27410599,48fXlyLUqTomch6H9n44R5j7g7o4ZxVX7ZCXltzKFa4=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,1000000000,0,221677195,31566704
27410599,ryXvvLQtkAjWD1zsPBBAuEX3neEw+MMfythbRIkzmlU=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,SVZS7Q7QMVHZONDHZJHR4564VTMEX3OQ5DSYBWKR5FJFTPZLVG3EZIWC34,777628254,250000000,0,55407911,31566704
27410599,PnmbnulXsSZJSn5FkfXEwir2DBluzQGrD1mXH71NFp0=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,L747MOJV43QCLY4HSWVPL2A5SW62IBLA5XPTI5R4HO32WVAWOO5OBCEP3A,620995314,500000000,0,110812008,31566704
27410599,7gZkK/WedKKQPfTN5Ry8+HMhkICt4NehFCe9zydxQBk=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,2PIFZW53RHCSFSYMCFUBW4XOCXOMB7XOYQSQ6KGT3KVGJTL4HM6COZRNMM,1002541853,1000000000,0,221596458,31566704
27410600,pg8BHzR+K6qOjY+nyFT4qzXf2EbwtL/JGOv7Dv3swFU=,W2IZ3EHDRW2IQNPC33CI2CXSLMFCFICVKQVWIYLJWXCTD765RW47ONNCEY,UXCJORFWJBXMK46HDXRKRIA5546AWFIW4KSQ6TLCUGIK2M5RQWGS2TMDUQ,777639704,100000000,0,22158071,312769
